t,temp,humd
114113,26.0,39.3
114114,26.0,39.3
114115,26.0,39.3
114116,26.0,39.3
114117,26.0,39.3
114118,26.0,39.4
114119,26.0,39.4
114120,26.0,39.4
114121,26.0,39.5
114122,26.0,39.5
114124,26.0,39.5
114125,26.0,39.5
114126,26.0,39.5
114127,26.0,39.5
114128,26.0,39.5
114129,26.0,39.6
114130,26.0,39.5
114131,26.0,39.5
114132,26.0,39.5
114133,26.0,39.5
114134,26.0,39.5
114135,26.0,39.4
114136,26.0,39.4
114137,26.0,39.4
114138,26.0,39.4
114139,26.0,39.5
114141,26.0,39.5
114142,26.0,39.5
114143,26.0,39.5
114144,25.9,39.5
114145,26.0,39.5
114146,26.0,39.5
114147,26.0,39.5
114148,26.0,39.5
114149,26.0,39.6
114150,26.0,39.6
114151,25.9,39.6
114152,26.0,39.6
114153,25.9,39.6
114154,25.9,39.5
114155,25.9,39.5
114156,25.9,39.4
114158,25.9,39.5
114159,25.9,39.5
114200,25.9,39.6
114201,25.9,39.6
114202,25.9,39.5
114203,25.9,39.5
114204,25.9,39.5
114205,25.9,39.5
114206,25.9,39.5
114207,25.9,39.5
114208,25.9,39.5
114209,25.9,39.5
114210,25.9,39.5
114211,25.9,39.5
114212,25.9,39.6
114213,25.9,39.6
114215,25.9,39.6
114216,25.9,39.6
114217,25.9,39.6
114218,25.9,39.6
114219,25.9,39.6
114220,25.9,39.6
114221,25.9,39.6
114222,25.9,39.6
114223,25.9,39.5
114224,25.9,39.6
114225,25.9,39.6
114226,25.9,39.5
114227,25.9,39.5
114228,25.9,39.5
114229,25.9,39.5
114230,25.9,39.5
114232,25.9,39.5
114233,25.9,39.6
114234,25.9,39.6
114235,25.9,39.6
114236,25.9,39.6
114237,25.9,39.6
114238,25.9,39.6
114239,25.9,39.6
114240,25.9,39.6
114241,25.9,39.6
114242,25.9,39.6
114243,25.9,39.6
114244,25.9,39.5
114245,25.9,39.5
114246,25.9,39.5
114247,25.9,39.5
114249,25.9,39.5
114250,25.9,39.5
114251,25.9,39.5
114252,25.9,39.5
114253,25.9,39.5
114254,25.9,39.5
114255,25.9,39.5
114256,25.9,39.5
114257,25.9,39.5
114258,25.9,39.5
114259,25.9,39.5
114300,25.9,39.5
114301,25.9,39.5
114302,25.9,39.6
114303,25.9,39.6
114304,25.9,39.6
114306,25.9,39.6
114307,25.9,39.6
114308,25.9,39.6
114309,25.9,39.6
114310,25.9,39.6
114311,25.9,39.6
114312,25.9,39.6
114313,25.9,39.6
114314,25.9,39.6
114315,25.9,39.6
114316,25.9,39.6
114317,25.9,39.6
114318,25.9,39.6
114319,25.9,39.6
114320,25.9,39.6
114322,25.9,39.6
114323,25.9,39.5
114324,25.9,39.5
114325,25.9,39.5
114326,25.9,39.4
114327,25.9,39.4
114328,25.9,39.4
114329,25.9,39.5
114330,25.9,39.5
114331,25.9,39.5
114332,25.9,39.5
114333,25.9,39.5
114334,25.9,39.5
114335,25.9,39.5
114336,25.9,39.5
114337,25.9,39.5
114339,25.9,39.4
114340,25.9,39.4
114341,25.9,39.4
114342,25.9,39.4
114343,25.9,39.4
114344,25.9,39.5
114345,25.9,39.5
114346,25.9,39.6
114347,25.9,39.6
114348,25.9,39.5
114349,25.9,39.5
114350,25.9,39.5
114351,25.9,39.5
114352,25.9,39.5
114353,25.9,39.5
114354,25.9,39.5
114356,25.9,39.5
114357,25.9,39.6
114358,25.9,39.6
114359,25.8,39.6
114400,25.9,39.6
114401,25.9,39.6
114402,25.9,39.6
114403,25.9,39.5
114404,25.9,39.6
114405,25.9,39.5
114406,25.9,39.5
114407,25.9,39.5
114408,25.9,39.5
114409,25.8,39.5
114410,25.8,39.5
114411,25.9,39.5
114413,25.8,39.5
114414,25.9,39.5
114415,25.8,39.5
114416,25.8,39.5
114417,25.9,39.5
114418,25.9,39.5
114419,25.8,39.4
114420,25.8,39.5
114421,25.8,39.5
114422,25.8,39.5
114423,25.8,39.5
114424,25.8,39.5
114425,25.8,39.5
114426,25.8,39.5
114427,25.8,39.6
114428,25.8,39.6
114430,25.8,39.6
114431,25.8,39.6
114432,25.8,39.6
114433,25.8,39.5
114434,25.8,39.5
114435,25.8,39.5
114436,25.8,39.5
114437,25.8,39.5
114438,25.8,39.5
114439,25.8,39.5
114440,25.8,39.5
114441,25.8,39.5
114442,25.8,39.5
114443,25.8,39.5
114444,25.8,39.5
114445,25.8,39.5
114447,25.8,39.6
114448,25.8,39.6
114449,25.8,39.6
114450,25.8,39.6
114451,25.8,39.6
114452,25.8,39.6
114453,25.8,39.6
114454,25.8,39.6
114455,25.8,39.6
114456,25.8,39.6
114457,25.8,39.6
114458,25.8,39.6
114459,25.8,39.6
114500,25.8,39.6
114501,25.8,39.6
114502,25.8,39.6
114504,25.8,39.6
114505,25.8,39.6
114506,25.8,39.6
114507,25.8,39.6
114508,25.8,39.6
114509,25.8,39.6
114510,25.8,39.6
114511,25.8,39.6
114512,25.8,39.6
114513,25.8,39.6
114514,25.8,39.6
114515,25.8,39.5
114516,25.8,39.6
114517,25.8,39.6
114518,25.8,39.6
114519,25.8,39.6
114521,25.8,39.6
114522,25.8,39.5
114523,25.8,39.5
114524,25.8,39.5
114525,25.8,39.5
114526,25.8,39.5
114527,25.8,39.6
114528,25.8,39.6
114529,25.8,39.6
114530,25.8,39.6
114531,25.8,39.6
114532,25.8,39.5
114533,25.8,39.5
114534,25.8,39.5
114535,25.8,39.5
114536,25.8,39.5
114538,25.8,39.5
114539,25.8,39.5
114540,25.8,39.5
114541,25.8,39.5
114542,25.8,39.5
114543,25.8,39.5
114544,25.8,39.5
114545,25.8,39.5
114546,25.8,39.5
114547,25.8,39.5
114548,25.8,39.5
114549,25.8,39.5
114550,25.8,39.5
114551,25.8,39.5
114552,25.8,39.6
114553,25.8,39.6
114555,25.8,39.6
