t,temp,humd
113439,26.5,37.9
113440,26.4,37.9
113442,26.4,37.9
113443,26.4,37.9
113444,26.4,37.9
113445,26.4,37.9
113446,26.4,38.0
113447,26.4,38.0
113448,26.4,38.0
113449,26.3,38.0
113450,26.3,38.0
113451,26.4,38.0
113452,26.4,38.0
113453,26.4,38.0
113454,26.3,38.0
113455,26.3,38.0
113456,26.3,38.0
113457,26.3,38.0
113459,26.3,38.0
113500,26.3,38.0
113501,26.3,38.0
113502,26.3,38.0
113503,26.3,38.0
113504,26.3,38.0
113505,26.3,38.0
113506,26.3,38.0
113507,26.3,38.0
113508,26.3,38.0
113509,26.3,38.1
113510,26.3,38.2
113511,26.3,38.3
113512,26.3,38.3
113513,26.3,38.3
113514,26.3,38.4
113516,26.3,38.4
113517,26.3,38.4
113518,26.3,38.4
113519,26.3,38.4
113520,26.3,38.4
113521,26.3,38.4
113522,26.3,38.4
113523,26.3,38.4
113524,26.3,38.3
113525,26.3,38.3
113526,26.3,38.4
113527,26.3,38.4
113528,26.3,38.5
113529,26.3,38.5
113530,26.3,38.6
113531,26.3,38.6
113533,26.3,38.6
113534,26.3,38.5
113535,26.3,38.5
113536,26.3,38.5
113537,26.3,38.5
113538,26.3,38.5
113539,26.3,38.5
113540,26.3,38.5
113541,26.3,38.5
113542,26.3,38.5
113543,26.3,38.5
113544,26.3,38.5
113545,26.3,38.5
113546,26.3,38.6
113547,26.3,38.6
113548,26.3,38.5
113550,26.3,38.5
113551,26.3,38.5
113552,26.3,38.5
113553,26.3,38.5
113554,26.3,38.5
113555,26.3,38.5
113556,26.3,38.5
