-13.602,-0.034,73.150,286.575,14.886
-13.600,-0.104,73.150,286.575,8.843
-13.600,-0.118,73.175,286.575,10.018
-13.589,-0.138,73.175,286.575,10.013
-13.576,-0.157,73.225,286.575,10.082
-13.529,-0.177,73.275,286.575,9.993
-13.455,-0.168,73.375,286.575,9.951
-13.358,-0.180,73.450,286.575,10.074
-13.223,-0.172,73.600,286.575,10.105
-13.084,-0.184,73.725,286.575,9.940
-12.949,-0.195,73.925,286.575,10.023
-12.740,-0.195,74.075,286.575,10.067
-12.556,-0.199,74.250,286.575,9.993
-12.314,-0.200,74.525,286.575,10.006
-12.092,-0.208,74.725,286.575,10.098
-11.823,-0.214,75.050,286.575,10.077
-11.533,-0.256,75.275,286.575,9.948
-11.239,-0.429,75.650,286.575,10.062
-10.889,-0.443,75.900,286.575,10.072
-10.550,-0.439,76.325,286.575,10.002
-10.039,-0.436,76.625,286.575,9.964
-9.585,-0.441,77.100,286.575,10.103
-9.168,-0.447,77.425,286.575,10.021
-8.748,-0.405,77.775,286.575,10.066
-8.302,-0.360,78.325,286.575,9.990
-7.840,-0.317,78.700,286.575,10.060
-7.354,-0.290,79.300,286.575,10.014
-6.860,-0.319,79.700,286.575,10.057
-6.327,-0.360,80.325,286.575,10.171
-5.793,-0.375,80.750,286.575,9.849
-5.281,-0.330,81.325,286.575,10.060
-4.801,-0.294,81.700,286.575,10.018
-4.356,-0.275,82.075,286.575,9.981
-3.931,-0.429,82.575,286.575,10.113
-3.517,-0.560,82.900,286.575,10.036
-3.113,-0.605,83.375,286.575,9.933
-2.736,-0.625,83.675,286.575,10.053
-2.374,-0.629,84.075,286.575,10.015
-2.052,-0.650,84.350,286.575,10.101
-1.751,-0.653,84.725,286.575,10.007
-1.445,-0.656,84.950,286.575,10.013
-1.173,-0.672,85.250,286.575,10.104
-0.932,-0.657,85.450,286.575,10.002
-0.578,-0.666,85.625,286.575,10.012
-0.283,-0.676,85.875,286.575,10.001
-0.067,-0.690,86.025,286.575,10.103
0.118,-0.721,86.225,286.575,9.928
0.270,-0.716,86.325,286.575,10.014
0.389,-0.693,86.475,286.575,10.164
0.509,-0.678,86.550,286.575,9.978
0.615,-0.698,86.650,286.575,10.081
